BLEU,Cosine_Similarity,Term_Overlap,Lexical_Density_Human,Lexical_Density_LLM,Entities_Human,Entities_LLM,Word_Count_Diff,Stop_Ratio_Human,Stop_Ratio_LLM,File,Model
0.3261676963319244,0.8899019902405803,0.6025641025641025,0.5566037735849056,0.5643564356435643,90,79,0.07261410788381743,0.36929460580912865,0.3624161073825503,DEL3783_GWG_TransformingLivesBrochure.txt,claude3.5
0.3555784115518057,0.8927741629173522,0.6025641025641025,0.5566037735849056,0.5804195804195804,90,74,0.022821576763485476,0.36929460580912865,0.37322515212981744,DEL3783_GWG_TransformingLivesBrochure.txt,gemini2.0
0.31033234722999453,0.8779012437981019,0.5769230769230769,0.5566037735849056,0.5714285714285714,90,78,0.01970954356846473,0.36929460580912865,0.3397761953204476,DEL3783_GWG_TransformingLivesBrochure.txt,gpt4o
0.29080074771766695,0.7983369892357125,0.46153846153846156,0.7134502923976608,0.7100591715976331,36,29,0.09414758269720101,0.36895674300254455,0.34831460674157305,DEL3682_RecruitmentFlyer_02.txt,claude3.5
0.27795187780492703,0.816741192818589,0.5,0.7134502923976608,0.7245508982035929,36,33,0.07888040712468193,0.36895674300254455,0.35911602209944754,DEL3682_RecruitmentFlyer_02.txt,gemini2.0
0.2553660566416721,0.8250515705577497,0.5384615384615384,0.7134502923976608,0.6927374301675978,36,28,0.002544529262086514,0.36895674300254455,0.3629441624365482,DEL3682_RecruitmentFlyer_02.txt,gpt4o
0.20219701179661054,0.8447549795501207,0.40350877192982454,0.708994708994709,0.6931216931216931,27,27,0.05227272727272727,0.39090909090909093,0.35731414868105515,Girls Who Game Sister Clubs.txt,claude3.5
0.3056060798744711,0.8398304526938475,0.45614035087719296,0.708994708994709,0.6649484536082474,27,24,0.06136363636363636,0.39090909090909093,0.3683083511777302,Girls Who Game Sister Clubs.txt,gemini2.0
0.2514035182399364,0.8564521941118906,0.42105263157894735,0.708994708994709,0.6666666666666666,27,27,0.0022727272727272726,0.39090909090909093,0.3854875283446712,Girls Who Game Sister Clubs.txt,gpt4o
0.26398180052104103,0.8634152315683872,0.47058823529411764,0.7405405405405405,0.7112299465240641,46,45,0.026200873362445413,0.32096069868995636,0.3295964125560538,GWG Mentor Program FA23.txt,claude3.5
0.31321587125323314,0.8672179728503213,0.5294117647058824,0.7405405405405405,0.6887755102040817,46,50,0.07205240174672489,0.32096069868995636,0.3360488798370672,GWG Mentor Program FA23.txt,gemini2.0
0.23111085619437924,0.8652489467366998,0.49019607843137253,0.7405405405405405,0.69,46,49,0.07423580786026202,0.32096069868995636,0.3313008130081301,GWG Mentor Program FA23.txt,gpt4o
